query,cache,tier,latency_sec
"একজন শিক্ষার্থী কিস্তিতে পরিশোধের সুবিধা কীভাবে ব্যবহার করবে, অনুসরণ করবে বা সামলাবে?",exact,cache,0.023820161819458008
I cannot get a required graduate course or suitable class time for M.Sc. in Cyber Security; what should I do?,exact,cache,0.021479129791259766
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.028934717178344727
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Laws (LL.B.)?",exact,cache,0.028153419494628906
What should I do if I have a problem with deans and department chairs and the normal process is not working?,exact,cache,0.02395176887512207
M Pharm in Clinical Pharmacy and Molecular Pharmacology e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,exact,cache,0.028690576553344727
amar bachelor different discipline e hole ba CGPA preferred level er ektu niche hole ki Master of Population Reproductive Health Gender and Development MPRHGD e apply korte parbo?,exact,cache,0.02855396270751953
Am I eligible for BSS in Information Studies if my grades meet the minimum overall requirement but one required subject grade is lower?,exact,cache,0.021233797073364258
মাস্টার অব বিজনেস অ্যাডমিনিস্ট্রেশন (এমবিএ) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.030025959014892578
Bachelor of Laws LLB student der jonno scholarship advising course registration retake ebong internship kibhabe kaj kore?,exact,cache,0.02186751365661621
I cannot find a required course during registration for B.Sc. in Computer Science and Engineering (CSE); what should I do and whom should I contact?,exact,cache,0.021477460861206055
"Does O-Level, A-Level, and foreign-curriculum equivalence apply to all students, or only to certain groups?",exact,cache,0.016556739807128906
আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.019811391830444336
Am I eligible for B.Sc. in Civil Engineering if my grades meet the minimum overall requirement but one required subject grade is lower?,exact,cache,0.01890850067138672
ইংরেজিতে এমএ প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.018866300582885742
"How do scholarship, advising, course registration, retakes, and internships work for a student in B.Sc. in Civil Engineering?",exact,cache,0.01994609832763672
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Pharmacy (B.Pharm.)?",exact,cache,0.01963019371032715
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc in Data Science and Analytics e apply korte parbo?,exact,cache,0.01598954200744629
কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামের প্রয়োজনীয় কোনো কোর্স নিবন্ধনের সময় না পেলে কী করব এবং কার সঙ্গে যোগাযোগ করব?,exact,cache,0.01967930793762207
MA in Teaching English to Speakers of Other Languages TESOL er required course ba convenient class time na pele ki korbo?,exact,cache,0.016453266143798828
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ব্যাচেলর অব ফার্মেসি (বি ফার্ম) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.019541263580322266
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc Honours in Mathematics e apply korte parbo?,exact,cache,0.018793344497680664
Can I apply to M.Sc. in Artificial Intelligence and Machine Learning if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,exact,cache,0.019586801528930664
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি পপুলেশন অ্যান্ড পাবলিক হেলথ সায়েন্সেসে বিএসএস (পিপিএইচএস) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.021054983139038086
alumni o graduate outcome niye problem hole ar normal process kaj na korle ki korbo?,exact,cache,0.01575160026550293
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki Bachelor of Pharmacy B Pharm e apply korte parbo?,exact,cache,0.016945838928222656
