_key,judge_score,judge_label,judge_reason,judge_raw
Base (zero-shot)||0||695013fb97,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||1||6468c72479,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||2||9e3d8bf367,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||3||e82e97bfea,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||4||c2a0fce7bc,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||5||1a73f155b5,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||6||2e07d16c07,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||7||695e2da2d0,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||8||16db666671,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||9||f4765e688e,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||10||86fe7f9248,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||11||560edfdba7,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||12||5b412fe41f,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||13||65009ef2b0,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||14||61b5c0b029,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||15||518ee5c6b0,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||16||07f6f5be09,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||17||7582572bb3,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||18||0eec85e1bc,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||19||97d6d0d0ac,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||20||75207c0445,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||21||71d1b11f7c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||22||e2d4d2d6c6,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||23||14aa30b221,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||24||3b9c430326,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||25||fc47a2337f,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||26||0839b85542,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||27||f8f389d899,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||28||4638e02901,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||29||8bf54266c5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||30||1656034424,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||31||6ac2caa8ea,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||32||b03555c298,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||33||f948dbde2f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||34||b29cb351d7,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||35||6768f1ea2e,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||36||15d9cf99c1,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||37||d4f8970bd1,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||38||3fabc6228c,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||39||c9d4cac28b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||40||2f48ac68e3,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||41||e8a78fc81b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||42||c930cc2311,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||43||72b3c7015f,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||44||c925603688,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||45||daafd9b8aa,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||46||9fb452ffaa,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||47||b8305f0985,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||48||2f886f4078,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||49||f62663b3a7,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||50||284d52b0ab,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||51||76dc30f093,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||52||50cf3c63c9,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||53||cb6ac519b6,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||54||b308e26aa2,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||55||160b25aff3,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||56||c4c7bb76af,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||57||af553afbc4,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||58||9d0a4b5578,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||59||ec82037ff7,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||60||1961fbba02,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||61||cce43eb180,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||62||bf5405c2f1,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||63||2d9aba328d,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||64||985fce6389,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||65||54408304d7,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||66||11765b021c,0,mostly_incorrect,,"{""score"": 0, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||67||4dc6f2d07a,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||68||00e728cb3f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||69||6b11992c9e,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||70||3e21833032,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||71||8f490a6768,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||72||913a4b34a5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||73||001273de63,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||74||106ec486fb,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||75||dd44de05c7,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||76||0fd8db2861,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||77||50963b671f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||78||c22adf4b00,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||79||9a9a6668c7,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||80||152cb32484,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||81||e8f18b92b0,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||82||5ef23ae63c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||83||fc94b7718c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||84||90d7627071,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||85||e84ff99e3a,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||86||7d4882a956,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||87||bc7f67d613,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||88||74235d9921,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||89||47ced45cbc,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||90||88306ec256,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||91||3b497fffc9,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||92||9b6461be92,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||93||cab88db516,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||94||3c2b35d03d,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||95||9c9f11c4c5,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||96||ee33822049,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||97||c192f7c692,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||98||abec1d51af,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||99||f323b7fcdd,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||100||705a218b17,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||101||91d6ac0300,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||102||32ceff1e18,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||103||04a75cf072,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||104||722f665f91,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||105||4f85c2b34e,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||106||c656c8dd68,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||107||5136e4e550,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||108||6849ccf73f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||109||b395fef9f4,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||110||a3387c6ce4,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
