language,question,reference,prediction,bertscore_f1,rougeL,is_refusal,is_domain_hit
banglish,attendance requirement niye problem hole ar normal process kaj na korle ki korbo?,Attendance requirements are governed by the university/course rules and current academic regulations. A ground-truth answer should use the current policy or course outline rather than invent a percentage when it is not stated in the source used.,"Haa, shikkharthi der shomoy shikkhader sathe joma kora jabe, kono nirdishto niti ba shomoyogya shomoy shikkhader sathe shahajjot kore.",0.5262,0.0,False,False
english,I cannot find a required course during registration for Bachelor of Laws (LL.B.); what should I do and whom should I contact?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.",Contact the Helpdesk at helpdesk-ics@ewubd.edu or call +8801755587555.,0.5383,0.0755,False,True
english,I cannot find a required course during registration for B.Sc. in Civil Engineering; what should I do and whom should I contact?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.",Contact the Department of Civil Engineering at helpdesk-ce@ewubd.edu or call +966-552700884.,0.5561,0.1053,False,True
banglish,BSS in Sociology er required course registration e na pele ki korbo ebong kar sathe contact korbo?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.","Haa, eta kono online portal e registration korar age na jabe; eta shikkharthi ra shikkhok der sathe contact kore register korte hobe.",0.5629,0.0625,False,False
banglish,alumni o graduate outcome niye problem hole ar normal process kaj na korle ki korbo?,Alumni outcomes are not a single fixed statistic. A correct answer should use official alumni/career reports for verifiable outcomes and avoid treating selected success stories as representative of every graduate.,"Eta shikkharthi der admission er age niye hote pare, eta shikkhader shomoy ebong shikkharthi der shomoy nirdesh kore.",0.5667,0.0,False,True
banglish,ekjon student cafeteria food o drinking water kibhabe use follow ba handle korbe?,"The sources used for this dataset do not establish a current cafeteria menu, price list, or operating hours. A correct answer should avoid inventing those details and refer to current campus information.","Student der shikkharthi der sathe ekta dining hall ba cafeteria use korte hobe ar eta shomoy shikkharthi der sathe share kore use kora jay, naki onno shikkharthi der sathe.",0.5669,0.0328,False,True
banglish,BSc in Information and Communications Engineering ICE er required course registration e na pele ki korbo ebong kar sathe contact korbo?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.","Na, eta duita course er jonno shposhtobhabe ekta prerequisite hishebe proyojon. Tader sathe contact kore ekta course registration form fill out kora oboshshoi nirdesh korte hobe.",0.5669,0.0882,False,True
banglish,Master of Business Administration MBA er required course ba convenient class time na pele ki korbo?,"If a required graduate course or suitable section is unavailable, contact the program coordinator/department and academic advisor first. Course offerings and schedules are semester-specific, and any substitution/waiver should be formally approved rather than assumed.","Haa, eta 60 credit er program hishebe design kora hoyeche, ar eta ekta full-time program hishebe run kora hoy.",0.5673,0.0351,False,True
english,What should I do if I have a problem with admission-test waiver and the normal process is not working?,The general admission-test waiver currently requires SAT total 1000; Faculty of Sciences and Engineering applicants also need the published Math and Physics conditions. Eligible foreign-system applicants may be exempt. Program-specific rules can override this.,Contact the EWU Admission Office directly at info@ewubd.edu or call +966-552700004.,0.5688,0.0784,False,True
banglish,Master of Population Reproductive Health Gender and Development MPRHGD er required course ba convenient class time na pele ki korbo?,"If a required graduate course or suitable section is unavailable, contact the program coordinator/department and academic advisor first. Course offerings and schedules are semester-specific, and any substitution/waiver should be formally approved rather than assumed.","Na, eta shudhu ekta elective option hishebe talikabhukto kora hoyeche.",0.5714,0.0,False,False
