query,cache,tier,latency_sec
"একজন শিক্ষার্থী কিস্তিতে পরিশোধের সুবিধা কীভাবে ব্যবহার করবে, অনুসরণ করবে বা সামলাবে?",exact,cache,0.025880098342895508
I cannot get a required graduate course or suitable class time for M.Sc. in Cyber Security; what should I do?,exact,cache,0.023465871810913086
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.030566692352294922
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Laws (LL.B.)?",exact,cache,0.030092716217041016
What should I do if I have a problem with deans and department chairs and the normal process is not working?,exact,cache,0.026636838912963867
M Pharm in Clinical Pharmacy and Molecular Pharmacology e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,exact,cache,0.030584096908569336
amar bachelor different discipline e hole ba CGPA preferred level er ektu niche hole ki Master of Population Reproductive Health Gender and Development MPRHGD e apply korte parbo?,exact,cache,0.025283336639404297
Am I eligible for BSS in Information Studies if my grades meet the minimum overall requirement but one required subject grade is lower?,exact,cache,0.01970219612121582
মাস্টার অব বিজনেস অ্যাডমিনিস্ট্রেশন (এমবিএ) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.025198936462402344
Bachelor of Laws LLB student der jonno scholarship advising course registration retake ebong internship kibhabe kaj kore?,exact,cache,0.019416093826293945
I cannot find a required course during registration for B.Sc. in Computer Science and Engineering (CSE); what should I do and whom should I contact?,exact,cache,0.023433923721313477
"Does O-Level, A-Level, and foreign-curriculum equivalence apply to all students, or only to certain groups?",exact,cache,0.019499778747558594
আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.023573637008666992
Am I eligible for B.Sc. in Civil Engineering if my grades meet the minimum overall requirement but one required subject grade is lower?,exact,cache,0.02254009246826172
ইংরেজিতে এমএ প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.020778179168701172
"How do scholarship, advising, course registration, retakes, and internships work for a student in B.Sc. in Civil Engineering?",exact,cache,0.02119278907775879
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Pharmacy (B.Pharm.)?",exact,cache,0.02234363555908203
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc in Data Science and Analytics e apply korte parbo?,exact,cache,0.02137613296508789
কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামের প্রয়োজনীয় কোনো কোর্স নিবন্ধনের সময় না পেলে কী করব এবং কার সঙ্গে যোগাযোগ করব?,exact,cache,0.023808002471923828
MA in Teaching English to Speakers of Other Languages TESOL er required course ba convenient class time na pele ki korbo?,exact,cache,0.019390583038330078
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ব্যাচেলর অব ফার্মেসি (বি ফার্ম) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.020673036575317383
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc Honours in Mathematics e apply korte parbo?,exact,cache,0.02039051055908203
Can I apply to M.Sc. in Artificial Intelligence and Machine Learning if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,exact,cache,0.019990205764770508
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি পপুলেশন অ্যান্ড পাবলিক হেলথ সায়েন্সেসে বিএসএস (পিপিএইচএস) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.025440454483032227
alumni o graduate outcome niye problem hole ar normal process kaj na korle ki korbo?,exact,cache,0.0198211669921875
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki Bachelor of Pharmacy B Pharm e apply korte parbo?,exact,cache,0.019936800003051758
Can I apply to MA in English if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,exact,cache,0.02081298828125
MSc in Artificial Intelligence and Machine Learning e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,exact,cache,0.02070331573486328
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ইংরেজিতে বিএ প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.022649526596069336
"আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামে বৃত্তি, পরামর্শ, কোর্স মওকুফ, থিসিস তত্ত্বাবধান এবং স্নাতক সমাপ্তির শর্ত কীভাবে কাজ করে?",exact,cache,0.021080732345581055
"How do scholarship, advising, course registration, retakes, and internships work for a student in BA in English?",exact,cache,0.01911020278930664
মাস্টার অব লজ (এলএলএম) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.019336462020874023
"Does psychological counseling apply to all students, or only to certain groups?",exact,cache,0.020773887634277344
I cannot find a required course during registration for Bachelor of Business Administration (BBA); what should I do and whom should I contact?,exact,cache,0.02106952667236328
MA in Teaching English to Speakers of Other Languages TESOL e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,exact,cache,0.02047133445739746
Can I apply to M. Pharm in Clinical Pharmacy and Molecular Pharmacology if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,exact,cache,0.020644426345825195
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSS in Information Studies e apply korte parbo?,exact,cache,0.02036881446838379
আমার ব্যাচেলর ডিগ্রি অন্য বিষয়ে হলে বা সিজিপিএ পছন্দসই মাত্রার একটু নিচে হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে মাস্টার অব সায়েন্স (এমএস ইন সিএসই) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.02134418487548828
"বিভাগীয় চেয়ারপারসন কি সব শিক্ষার্থীর ক্ষেত্রে প্রযোজ্য, নাকি শুধু নির্দিষ্ট কিছু শিক্ষার্থীর জন্য?",exact,cache,0.023641586303710938
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি জেনেটিক ইঞ্জিনিয়ারিং অ্যান্ড বায়োটেকনোলজিতে বিএসসি (জিইবি) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.021468162536621094
