query,cache,tier,latency_sec,self_consistency,router_probability
"একজন শিক্ষার্থী কিস্তিতে পরিশোধের সুবিধা কীভাবে ব্যবহার করবে, অনুসরণ করবে বা সামলাবে?",miss,slm,77.22895812988281,0.8604586521784464,0.41746382115630576
I cannot get a required graduate course or suitable class time for M.Sc. in Cyber Security; what should I do?,miss,llm,64.69125604629517,0.7052194873491923,0.5402380810696827
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামে আবেদন করতে পারব?,miss,slm,36.31363368034363,0.7937183976173401,0.4604492239949195
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Laws (LL.B.)?",miss,slm,39.72925543785095,0.8705322941144308,0.41106703090608954
What should I do if I have a problem with deans and department chairs and the normal process is not working?,miss,slm,40.915769815444946,0.8104305664698283,0.44960419673387125
M Pharm in Clinical Pharmacy and Molecular Pharmacology e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,miss,slm,40.88309836387634,0.7514065504074097,0.48805119839865835
amar bachelor different discipline e hole ba CGPA preferred level er ektu niche hole ki Master of Population Reproductive Health Gender and Development MPRHGD e apply korte parbo?,miss,slm,40.27129769325256,0.8040348688761393,0.4537494688867454
Am I eligible for BSS in Information Studies if my grades meet the minimum overall requirement but one required subject grade is lower?,miss,slm,37.11765241622925,0.8850614627202352,0.4174393269757092
মাস্টার অব বিজনেস অ্যাডমিনিস্ট্রেশন (এমবিএ) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,llm,51.55187797546387,0.6383341153462728,0.5617102573085376
Bachelor of Laws LLB student der jonno scholarship advising course registration retake ebong internship kibhabe kaj kore?,miss,llm,46.818044662475586,0.653181234995524,0.552122734210837
I cannot find a required course during registration for B.Sc. in Computer Science and Engineering (CSE); what should I do and whom should I contact?,miss,llm,66.65109038352966,0.6438694993654887,0.5581407852632654
"Does O-Level, A-Level, and foreign-curriculum equivalence apply to all students, or only to certain groups?",miss,slm,37.19757390022278,0.8641659418741862,0.41510632734392805
আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,llm,53.44580340385437,0.6062662601470947,0.5822526124248238
Am I eligible for B.Sc. in Civil Engineering if my grades meet the minimum overall requirement but one required subject grade is lower?,miss,llm,41.493396043777466,0.7003119985262553,0.5214643093732161
ইংরেজিতে এমএ প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,llm,53.054569482803345,0.5876785119374593,0.5940350619032122
"How do scholarship, advising, course registration, retakes, and internships work for a student in B.Sc. in Civil Engineering?",miss,slm,41.66488265991211,0.8052277763684591,0.45297580661224285
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Pharmacy (B.Pharm.)?",miss,slm,41.56394958496094,0.7495261033376058,0.4892808404799004
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc in Data Science and Analytics e apply korte parbo?,miss,slm,37.92269682884216,0.7855230569839478,0.4746783398224615
কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামের প্রয়োজনীয় কোনো কোর্স নিবন্ধনের সময় না পেলে কী করব এবং কার সঙ্গে যোগাযোগ করব?,miss,llm,53.49379229545593,0.5693522095680237,0.9787828189465217
MA in Teaching English to Speakers of Other Languages TESOL er required course ba convenient class time na pele ki korbo?,miss,slm,41.12452960014343,0.804608146349589,0.4533776375516166
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ব্যাচেলর অব ফার্মেসি (বি ফার্ম) প্রোগ্রামে আবেদন করতে পারব?,miss,slm,36.48651385307312,0.7597112854321798,0.4826225601700084
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc Honours in Mathematics e apply korte parbo?,miss,slm,37.359135150909424,0.8057103157043457,0.45266291335096687
Can I apply to M.Sc. in Artificial Intelligence and Machine Learning if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,miss,llm,43.17684984207153,0.6611272692680359,0.5469751405201128
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি পপুলেশন অ্যান্ড পাবলিক হেলথ সায়েন্সেসে বিএসএস (পিপিএইচএস) প্রোগ্রামে আবেদন করতে পারব?,miss,slm,36.83169078826904,0.7758910854657491,0.47205907301590644
alumni o graduate outcome niye problem hole ar normal process kaj na korle ki korbo?,miss,llm,45.5541775226593,0.5852468808492025,0.6210897908634523
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki Bachelor of Pharmacy B Pharm e apply korte parbo?,miss,slm,36.05374717712402,0.7946614424387614,0.4798493428473677
Can I apply to MA in English if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,miss,slm,40.043925285339355,0.814129650592804,0.4472098490959725
MSc in Artificial Intelligence and Machine Learning e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,miss,llm,64.97696566581726,0.7071068286895752,0.517025404557813
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ইংরেজিতে বিএ প্রোগ্রামে আবেদন করতে পারব?,miss,llm,50.46603226661682,0.6491861939430237,0.5547066453996299
"আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামে বৃত্তি, পরামর্শ, কোর্স মওকুফ, থিসিস তত্ত্বাবধান এবং স্নাতক সমাপ্তির শর্ত কীভাবে কাজ করে?",miss,llm,59.62767672538757,0.5038066109021505,0.6578515859826369
"How do scholarship, advising, course registration, retakes, and internships work for a student in BA in English?",miss,slm,38.2463812828064,0.7526229023933411,0.4872558862428245
মাস্টার অব লজ (এলএলএম) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,slm,39.751697301864624,0.8756969769795736,0.4077989123530252
"Does psychological counseling apply to all students, or only to certain groups?",miss,slm,39.75729155540466,0.8176531394322714,0.4482413768391142
I cannot find a required course during registration for Bachelor of Business Administration (BBA); what should I do and whom should I contact?,miss,slm,38.07734131813049,0.8317393064498901,0.4358468254256252
MA in Teaching English to Speakers of Other Languages TESOL e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,miss,slm,41.00778031349182,0.7674779494603475,0.4775493291942654
Can I apply to M. Pharm in Clinical Pharmacy and Molecular Pharmacology if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,miss,llm,46.83423399925232,0.6458963751792908,0.5568322265754485
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSS in Information Studies e apply korte parbo?,miss,slm,36.926445722579956,0.8484624822934469,0.4288625227605114
আমার ব্যাচেলর ডিগ্রি অন্য বিষয়ে হলে বা সিজিপিএ পছন্দসই মাত্রার একটু নিচে হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে মাস্টার অব সায়েন্স (এমএস ইন সিএসই) প্রোগ্রামে আবেদন করতে পারব?,miss,llm,55.749083042144775,0.6753649314244589,0.9999049699060729
"বিভাগীয় চেয়ারপারসন কি সব শিক্ষার্থীর ক্ষেত্রে প্রযোজ্য, নাকি শুধু নির্দিষ্ট কিছু শিক্ষার্থীর জন্য?",miss,llm,56.179299116134644,0.6832113663355509,0.5459284132395018
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি জেনেটিক ইঞ্জিনিয়ারিং অ্যান্ড বায়োটেকনোলজিতে বিএসসি (জিইবি) প্রোগ্রামে আবেদন করতে পারব?,miss,llm,50.04633450508118,0.6910130778948466,0.5275334412796444
