query,cache,tier,latency_sec,self_consistency,router_probability
"একজন শিক্ষার্থী কিস্তিতে পরিশোধের সুবিধা কীভাবে ব্যবহার করবে, অনুসরণ করবে বা সামলাবে?",miss,slm,87.98145651817322,0.7671657005945841,0.47775320319641834
I cannot get a required graduate course or suitable class time for M.Sc. in Cyber Security; what should I do?,miss,slm,44.43409013748169,0.7837688128153483,0.4889362339737649
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামে আবেদন করতে পারব?,miss,slm,41.4835410118103,0.7981365124384562,0.4575781030647097
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Laws (LL.B.)?",miss,slm,44.665120363235474,0.862088163693746,0.4164271372250234
What should I do if I have a problem with deans and department chairs and the normal process is not working?,miss,slm,45.26613235473633,0.7428599198659261,0.4936408872671241
M Pharm in Clinical Pharmacy and Molecular Pharmacology e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,miss,slm,44.81173801422119,0.779041608174642,0.47000476708478767
amar bachelor different discipline e hole ba CGPA preferred level er ektu niche hole ki Master of Population Reproductive Health Gender and Development MPRHGD e apply korte parbo?,miss,slm,44.97235298156738,0.7958332498868307,0.45907454833874517
Am I eligible for BSS in Information Studies if my grades meet the minimum overall requirement but one required subject grade is lower?,miss,slm,41.35168218612671,0.8281776706377665,0.45402290144389323
মাস্টার অব বিজনেস অ্যাডমিনিস্ট্রেশন (এমবিএ) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,llm,69.83387565612793,0.6215006311734518,0.5725246446190912
Bachelor of Laws LLB student der jonno scholarship advising course registration retake ebong internship kibhabe kaj kore?,miss,llm,74.50564742088318,0.6360975503921509,0.5631507211182831
I cannot find a required course during registration for B.Sc. in Computer Science and Engineering (CSE); what should I do and whom should I contact?,miss,llm,74.70715308189392,0.6594130396842957,0.5480865387244951
"Does O-Level, A-Level, and foreign-curriculum equivalence apply to all students, or only to certain groups?",miss,slm,41.73576307296753,0.7765615979830424,0.4716217755885496
আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,llm,69.08911633491516,0.6398318012555441,0.560745090836112
Am I eligible for B.Sc. in Civil Engineering if my grades meet the minimum overall requirement but one required subject grade is lower?,miss,slm,40.85918736457825,0.9182538191477457,0.381203478224862
ইংরেজিতে এমএ প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,llm,68.79740047454834,0.6110013723373413,0.5792354679663848
"How do scholarship, advising, course registration, retakes, and internships work for a student in B.Sc. in Civil Engineering?",miss,slm,44.162278175354004,0.8256664872169495,0.4397584616907339
"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Pharmacy (B.Pharm.)?",miss,slm,43.9479296207428,0.7581530610720316,0.48364086035882015
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc in Data Science and Analytics e apply korte parbo?,miss,llm,67.69149684906006,0.6990221738815308,0.531209183325527
কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামের প্রয়োজনীয় কোনো কোর্স নিবন্ধনের সময় না পেলে কী করব এবং কার সঙ্গে যোগাযোগ করব?,miss,llm,68.08090376853943,0.5131291250387827,0.9816324999430742
MA in Teaching English to Speakers of Other Languages TESOL er required course ba convenient class time na pele ki korbo?,miss,llm,47.120094299316406,0.7044980923334757,0.5187299915661436
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ব্যাচেলর অব ফার্মেসি (বি ফার্ম) প্রোগ্রামে আবেদন করতে পারব?,miss,slm,40.62652635574341,0.7892140944798788,0.4633790576925643
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc Honours in Mathematics e apply korte parbo?,miss,slm,41.98305082321167,0.8016237417856852,0.45531390109084613
Can I apply to M.Sc. in Artificial Intelligence and Machine Learning if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,miss,slm,44.69983768463135,0.7604023416837057,0.4821709974685654
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি পপুলেশন অ্যান্ড পাবলিক হেলথ সায়েন্সেসে বিএসএস (পিপিএইচএস) প্রোগ্রামে আবেদন করতে পারব?,miss,llm,69.35354089736938,0.6865195035934448,0.5304634557269501
alumni o graduate outcome niye problem hole ar normal process kaj na korle ki korbo?,miss,llm,69.79946780204773,0.7711459994316101,0.5019197108868586
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki Bachelor of Pharmacy B Pharm e apply korte parbo?,miss,slm,41.058101177215576,0.7688063581784567,0.4967541480554604
Can I apply to MA in English if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,miss,slm,44.597933530807495,0.7636497815450033,0.48004939759187737
MSc in Artificial Intelligence and Machine Learning e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,miss,slm,44.72379398345947,0.7366390625635783,0.49771056550454096
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ইংরেজিতে বিএ প্রোগ্রামে আবেদন করতে পারব?,miss,llm,46.58249878883362,0.6985440254211426,0.5226187498823588
"আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামে বৃত্তি, পরামর্শ, কোর্স মওকুফ, থিসিস তত্ত্বাবধান এবং স্নাতক সমাপ্তির শর্ত কীভাবে কাজ করে?",miss,llm,67.96646451950073,0.6262272198994955,0.5825767671814605
"How do scholarship, advising, course registration, retakes, and internships work for a student in BA in English?",miss,slm,42.41443943977356,0.8149013717969259,0.4467106357700611
মাস্টার অব লজ (এলএলএম) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,miss,slm,44.16275119781494,0.889085054397583,0.3993657249261879
"Does psychological counseling apply to all students, or only to certain groups?",miss,slm,43.59619450569153,0.7885011037190756,0.4671752809255921
I cannot find a required course during registration for Bachelor of Business Administration (BBA); what should I do and whom should I contact?,miss,slm,41.9689667224884,0.8526274561882019,0.42245603809659127
MA in Teaching English to Speakers of Other Languages TESOL e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,miss,slm,44.164499282836914,0.8006729483604431,0.45593106003931705
Can I apply to M. Pharm in Clinical Pharmacy and Molecular Pharmacology if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,miss,llm,73.10762548446655,0.6417189439137777,0.5595282897666313
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSS in Information Studies e apply korte parbo?,miss,slm,40.51035165786743,0.81894983847936,0.44787531488685045
আমার ব্যাচেলর ডিগ্রি অন্য বিষয়ে হলে বা সিজিপিএ পছন্দসই মাত্রার একটু নিচে হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে মাস্টার অব সায়েন্স (এমএস ইন সিএসই) প্রোগ্রামে আবেদন করতে পারব?,miss,llm,67.91492676734924,0.7359853585561117,0.9998886341426174
"বিভাগীয় চেয়ারপারসন কি সব শিক্ষার্থীর ক্ষেত্রে প্রযোজ্য, নাকি শুধু নির্দিষ্ট কিছু শিক্ষার্থীর জন্য?",miss,llm,73.00329661369324,0.6966981093088785,0.5371658765094108
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি জেনেটিক ইঞ্জিনিয়ারিং অ্যান্ড বায়োটেকনোলজিতে বিএসসি (জিইবি) প্রোগ্রামে আবেদন করতে পারব?,miss,llm,70.08995580673218,0.6171159744262695,0.5753305895652145
