_key,judge_score,judge_label,judge_reason,judge_raw
Base (zero-shot)||0||9110e1a4e3,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||1||ddedb7c925,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||2||763fbd624f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||3||073098af01,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||4||26697edb7e,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||5||3e097a1cf2,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||6||f6b9955627,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||7||84590c4b9f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||8||7e9148941f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||9||bd7f4d06db,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||10||d23e1f29e1,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||11||1f0812fe91,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||12||a3345de988,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||13||ce1989a934,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||14||00d44ff07f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||15||6c72ae1414,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||16||5885c34403,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||17||3f75098d0b,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||18||42d5c18d81,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||19||ea08238c4c,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||20||3b96024469,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||21||d8695833e2,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||22||540b2a30c9,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||23||1292e6d9bd,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||24||225eca3c92,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||25||0cd467cc9e,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||26||68ceb32dbd,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||27||cbe669244b,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||28||6bfb7c87f4,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||29||5fb0eaa658,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||30||f64eb4e235,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||31||8e6b22d4f0,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||32||174ea0c198,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||33||35a8fe577a,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||34||7f622ea9d2,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||35||a2ffe0428d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||36||9ad1a89059,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||37||f5c3ca6432,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||38||db1034f526,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||39||6bf54675e5,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||40||7643530522,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
