language,question,reference,prediction,bertscore_f1,rougeL,is_refusal,is_domain_hit
banglish,dean o department chair niye problem hole ar normal process kaj na korle ki korbo?,Current deans and department chairs should be taken from official faculty/department pages. The Academic Council page also lists current deans and selected chairpersons.,"Tader dbara poramorsho kora jete pare. Tader dbara poramorsho kora ba shposhtobhabe poramorsho kora jete pare emon shikkharthider shodoshsho hishebe bishbobidyaloy er sathe poramorsho kora uchit. Shikkharthider tader dbara poramorsho kora shorboccho hote pare, ja shposhtobhabe shikkharthider shodoshsho hishebe bishbobidyaloy er sathe poramorsho kora uchit. Shikkharthider shorboccho hote pare emon shikkharthider shodoshsho hishebe bishbobidyaloy er sathe poramorsho kora uchit. Shikkharthider shorboccho hote",0.4667,0.0,False,False
banglish,attendance requirement niye problem hole ar normal process kaj na korle ki korbo?,Attendance requirements are governed by the university/course rules and current academic regulations. A ground-truth answer should use the current policy or course outline rather than invent a percentage when it is not stated in the source used.,Student der tader dbara shposhtobhabe poramorsho kora hobe. Tader shposhtobhabe poramorsho kora hote hobe emon day er sheshe shposhtobhabe poramorsho kora hobe. Shposhtobhabe poramorsho kora hote hobe emon day er sheshe shposhtobhabe poramorsho kora hobe. Tader poramorsho kora hote hobe emon day er sheshe shposhtobhabe poramorsho kora hobe. Tader poramorsho kora hote hobe emon day er sheshe shposhtobhabe poramorsho kora hobe. Tader poramorsho kora hote hobe emon day er sheshe shposhtob,0.4674,0.0,False,False
banglish,ekjon student cafeteria food o drinking water kibhabe use follow ba handle korbe?,"The sources used for this dataset do not establish a current cafeteria menu, price list, or operating hours. A correct answer should avoid inventing those details and refer to current campus information.","Student ra churanto ba shushashar age food ar drinking water use kore. Churanto ba shushashar age onno shposhto shastho ebong shoujonno royeche. Student ra churanto ba shushashar age nothi nothi kora jay na. Jodi churanto ba shushashar age nothi nothi kora hoy, tahole tader churanto ba shushashar age nothi nothi kora jay na. Shposhtobhabe churanto ba shushashar age nothi nothi kora jay na. Shposhto shastho ebong shoujonno royeche. Tader churanto ba shushashar age nothi nothi kora jay na. Jodi churanto ba shushashar age nothi nothi",0.4884,0.0,False,False
banglish,ekjon student syndicate kibhabe use follow ba handle korbe?,The Syndicate is part of university governance; current chair/membership should be taken from the latest official governance page because membership is time-sensitive.,"Syndicate members academic matters er jonno follow kora ar student der problems resolve korbe. Syndicate members shobcheye churanto, academic council er sathe shadharon discussion kore, shposhto shikkharthi der shorboccho, shikkharthider kache shposhto kaj gulo handle kora, shikkharthider dbara poramorsho kora shorboccho, shikkharthider kache shposhto shikkha shoho kora ebong shikkharthider kache shposhto kormochai kora. Shikkharthider jekono shorboccho hote hobe emon shikkharthider bishoye kaj kora, shikkharthider kache shposhto kormochai kora ebong shikkharthider dbara poramorsho kora sh",0.4889,0.0204,False,False
banglish,BSc in Electrical and Electronic Engineering EEE er required course registration e na pele ki korbo ebong kar sathe contact korbo?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.","Na pele ekta tader nemotho porikkha kore. Tader ekta nemotho porikkha kora hoyeche. Tader dui ti semester er porjonto shposhtobhabe note ba disclaimer deoa hoyeche. Shposhtobhabe note kora hoyeche je bSc in EEE er jonno minimum 120 credits lagbe, ar 9 credits per semester er jonno note kora hoyeche. Tader dui ti semester er porjonto shposhtobhabe note kora hoyeche je bSc in EEE er jonno minimum 120 credits lagbe, ar 9 credits per semester er jonno note kora hoyeche. Tader dui ti semester er porjonto shposhtobhabe note kora hoyeche je bSc in EEE er jonno minimum 120 credits lagbe",0.4953,0.0,False,True
banglish,department chairperson ki shob student er jonno apply kore naki specific group er jonno?,"Department chairpersons change over time. The current department page or official directory is the ground truth, not an old PDF or cached post.","Eta shob student er jonno apply kora hoy, ja shikkharthi ar shikkhok der dui ta. Shob shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta shikkhok der dui ta. Ei rule tader shikkharthi der dui ta",0.5008,0.0,False,False
banglish,BSS in Economics er required course registration e na pele ki korbo ebong kar sathe contact korbo?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.","Na pele ekta external contact kora hobe: 09666775577, ext. - 234, or ekta email address: helpdesk-accounts@ewubd.edu. Tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader tader t",0.5019,0.0147,False,True
banglish,ekjon student ranking o external evaluation kibhabe use follow ba handle korbe?,"There is no single official 'ranking' that is universally authoritative. Any ranking answer should name the ranking organization, edition/year, metric, and source instead of presenting an unqualified rank.","Student ra academic ojukto kora hobe, jekhane 'academic ojukto' shposhtobhabe 'academic probation' er sathe shammongjopurno. Jekono student ra academic probation e thake, tader dui semester er jonno ekta grade point dekha hoy. Dui semester er jonno probation er protishtha kore na, tahole tader academic probation er poramorsho hote hobe. Academic probation e thakar protisthito student ke dui semester er jonno ekta letter grade point dekha hoy, ar dui semester er jonno probation er protishtha kore na. Tader dui semester er ekta semester er jonno ekta letter grade point dekha hoy, ar dui semester er jonno probation er protishtha kore na. Tader dui semester er ekta semester er jonno ekta",0.5067,0.0,False,True
banglish,harassment o discrimination complaint niye problem hole ar normal process kaj na korle ki korbo?,Harassment or discrimination complaints should use the university's formal policy/complaint process. A chatbot should not investigate or decide guilt; it should explain reporting options and immediate-safety steps.,"Student ra tader harassment o poramorsho shoho jekono shikkharthi, shikkhok o shikkhokar sathe shongjahan kora ba jekono shodoshsho der sathe shongjahan kora theke shposhtobhabe shushashon korte hobe. Tader shposhtobhabe shushashon kore emon shodoshsho gulo shposhtobhabe shunno korte hobe. Shikkharthi ra shposhtobhabe shunno kora shodoshsho der sathe shongjahan kora theke shposhtobhabe shunno korte hobe. Shikkharthi ra shposhtobhabe shunno korte hobe ar shposhtobhabe shunno korte hobe emon shodoshsho der",0.5072,0.0206,False,False
banglish,BSS in Sociology er required course registration e na pele ki korbo ebong kar sathe contact korbo?,"If a required course is unavailable or registration fails, first check prerequisites and the registration window, then contact the academic advisor/department. Registration and add/drop/withdrawal follow the academic calendar, and unresolved registration issues should be escalated through the department/Registrar.",Na pele ekta elective course er jonno registration kora hote hobe. Elective course gulor moddhe shposhto course code ar credit value gulo change hote pare. Contact kora sathe holo admissions@ewubd.edu. ei email address e bishbobidyaloyer admission office dbara poramorsho kora jay. Shposhtobhabe tader admission office dbara poramorsho kora jay. Tader admission@ewubd.edu email address e bishbobidyaloyer admission office dbara poramorsho kora jay. Shposhtobhabe tader admission@ewubd.edu email address e bishbobidyaloyer admission office dbara poramorsho kora jay. Tader admission@ewubd.edu email address e bishbobidyaloyer admission office dbara poramorsho kora jay,0.509,0.0441,False,True
