idx,query,answer,tier,escalated,router_probability,latency_sec
0,"একজন শিক্ষার্থী কিস্তিতে পরিশোধের সুবিধা কীভাবে ব্যবহার করবে, অনুসরণ করবে বা সামলাবে?","inal rounds of the 3rd Intra-Department Moot Court Competition 2022 organized by the Department of Law, East West University; andJudged the preliminary rounds of the 1st Intra-Department Moot Court Competition 2020 organized by DUMCS, Bangladesh.EDUCATIONAL POLICY CONTRIBUTIONS & CONFERENCESAThank you for your valuable feedback. It will be used to improve our program. We are always looking for ways to enhance our programs and ensure they meet the needs of today’s learners. For more information about our programs, visit our website at www.ewub",slm,False,0.4331176634036972,1.6689300537109375e-05
1,I cannot get a required graduate course or suitable class time for M.Sc. in Cyber Security; what should I do?,"3, 2017.Z. I. Mannan, H. Choi, V. Rajamani, H. Kim, and L. Chua, “Chua Corsage Memristor: phase portraits, basin of attraction, and coexisting pinched hysteresis loops,” Int. J. Bifurcation Chaos, vol. 27, no. 3, 2017.Z. I. Mannan, H. Choi, V. Rajamani, H. Kim, and L. Chua, “Chua Corsage Memristor: phase portraits, basin of attraction, and coexisting pinched hysteresis loops,” Int. J. Bifurcation Chaos, vol. 27, no. 3, 2017.Z. I. Mannan, H. Choi, V. Rajamani, H. Kim, and L. Chua, “Chua Corsage Mem",llm,True,0.5963207577812604,59.94092559814453
2,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামে আবেদন করতে পারব?,"না, আবেদনকারীদের তাদের সম্পূর্ণ স্কলারশিপ পেতে তাদের মোট ফল ন্যূনতম শর্ত পূরণ করতে হবে।",llm,True,0.5369529915883084,11.545978784561157
3,"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Laws (LL.B.)?","June 2022 to August 2022.Worked as an Undergraduate Teaching Assistant (UTA) at the Departments of Law and Social Relations, East West University, from September 2022 to January 2023. research interest: Constitutional Law, Human Rights Law, Gender & Minority Rights, International Humanitarian Law, International Law, Corporate Law, Land Law, Environmental Law. selected publications: Conference PapersOpinion PapersBook ReviewsBook ChaptersArias, F., Alam, N.-A., & Alam, R.-I. (2024).The role of women in the national",slm,False,0.3922594120946172,1.3828277587890625e-05
4,What should I do if I have a problem with deans and department chairs and the normal process is not working?,"10.8% and the net internal migration rate was 1.4% during 1991–2011.Conclusion: Internal migration plays a significant role in understanding the demographic dynamics of Bangladesh. The results of this study can contribute to the understanding of the dynamics of internal migration and their determinants, which are essential to understand the population dynamics and the multifaceted relationship between population and development of a nation. It is expected to provide new insights into the dynamics of internal migration in Bangladesh and the factors influencing it. Our findings can also contribute to the ongoing debate on the need for a comprehensive census to understand the",slm,False,0.4658442810974672,1.1444091796875e-05
5,M Pharm in Clinical Pharmacy and Molecular Pharmacology e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,"a bilimbileaf"" International Conference on Biotechnology, Genetic Engineering and Molecular Biology. 16-18 February 2019.3.Sliding Talk Presentationon ""Role of Clitoria ternatea (Butterfly Pea) Flower in Endometriosis and Related Pain: a Network Pharmacology Based Investigation and Experimental Validation"". 3rd International Electronic Conference on Biotechnology, Genetic Engineering and Molecular Biology. 03-05 April 2024.4.Sliding Talk Presentationon ""Prevalence of perceived anxiety in general people, students and healthcare professionals during Covid-",slm,False,0.4922640397916341,1.430511474609375e-05
6,amar bachelor different discipline e hole ba CGPA preferred level er ektu niche hole ki Master of Population Reproductive Health Gender and Development MPRHGD e apply korte parbo?,"Science: Geography, Vol. 15, No. 1, pp. 1-10, January, 2015.M.S.H. Mondal, and Islam, S. Spatial and Temporal Trends of Water Level in the Teesta River Basin, Bangladesh,Water, Vol. 6, No. 1, pp. 271-289, January, 2014.M.S.H. Mondal, and Islam, S. Spatial and Temporal Trends of Water Level in the Teesta River Basin, Bangladesh,Water, Vol. 6, No. 1, pp. 271-289, January, 2014.M.S.H. Mondal, and Islam, S. Spatial and Temporal Trends of Water Level in the Teesta River Basin, Bangladesh,Water, Vol. 6, No. 1, pp. 271-289,",llm,True,0.5187605022252479,25.243043422698975
7,Am I eligible for BSS in Information Studies if my grades meet the minimum overall requirement but one required subject grade is lower?,"No, a minimum score of 9.00 is required in both SSC and HSC. Since there must be no score below 4.50, meeting just one subject's minimum (chemistry, biology, physics, or mathematics) without satisfying both will result in an ineligible GPA total. A combined score of 8.00 from SSC and HSC with no score below 4.50 is required for admission. Therefore, failing to meet the minimum in either one of these subjects makes the applicant ineligible for admission. The applicant must have a minimum GPA of 3.50 in chemistry, biology, physics,",slm,False,0.437150631896229,1.3828277587890625e-05
8,মাস্টার অব বিজনেস অ্যাডমিনিস্ট্রেশন (এমবিএ) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে শিক্ষার্থীদের তাদের বরখাস্ত হওয়ার দায় ও বন্ধন আছে।,llm,True,0.5717962900445741,14.062411069869995
9,Bachelor of Laws LLB student der jonno scholarship advising course registration retake ebong internship kibhabe kaj kore?,Scholarship er jonno advising course registration retake kora hobe ebong EWU er Career Counseling Center (CCC) e internship complete korte hobe.,llm,True,0.5565993602262442,6.467556953430176
