index,question,predicted_language,is_correct_1_or_0,true_language_if_wrong
2619,Stochastic Calculus-এর জন্য STA 204-এর সাথে কোন লেভেল-টু গণিত কোর্সটি জোড়া দেওয়া হয়েছে?,bangla,,
456,ফেইলিউর স্পেশাল গ্রেডের জন্য কোন নোটেশন ব্যবহার করা হয়?,bangla,,
102,"পোস্ট গ্র্যাজুয়েট ডিপ্লোমা ইন পপুলেশন, পাবলিক হেলথ অ্যান্ড ডিজাস্টার ম্যানেজমেন্ট (পিপিডিএম) প্রোগ্রামের আবেদনের শেষ তারিখ কী?",bangla,,
1126,"কোড CSE561-এর সাথে কোন কোর্সের শিরোনাম ম্যাপ করে, এবং এর ক্রেডিট ঘণ্টা কত?",bangla,,
1003,"প্রথম সেমিস্টারে প্রদত্ত কোর কোর্সগুলোর কোর্স কোড, শিরোনাম এবং ক্রেডিটের তালিকা দিন।",bangla,,
914,Networking and Operating System (MIS9524)-এ কোন ধরনের লেয়ার্ড আর্কিটেকচার ফ্রেমওয়ার্ক এবং অপারেটিং সিস্টেম স্পষ্টভাবে অধ্যয়ন করা হয়?,bangla,,
571,চেয়ারপারসন বাদ দিয়ে EWU বোর্ড অব ট্রাস্টিজের কতজন নিয়মিত সদস্য আছেন?,bangla,,
419,C কত গ্রেড পয়েন্টের সমান?,bangla,,
2771,ইলেক্টিভ কোর্স SOC415 সম্পন্ন করার পর কত ক্রেডিট অর্জিত হয়?,bangla,,
2233,ICE 481-এর জন্য তালিকাভুক্ত দ্বৈত পূর্বশর্তগুলো কী?,bangla,,
356,Electrical Circuits and Machines Lab-এ কোন নির্দিষ্ট হাই-ফ্রিকোয়েন্সি টেস্টিং সরঞ্জাম স্থাপন করা হয়েছে?,bangla,,
2418,কোন ক্যাটাগরি ট্র্যাকিং ভ্যালু INF498-কে INF101 থেকে আলাদা করে?,bangla,,
1728,রি-স্ক্রুটিনির সময় যদি কোনো স্ক্রিপ্ট মার্কিং ত্রুটি যাচাই করা হয় তবে কোন নির্দিষ্ট আর্থিক ক্ষতিপূরণ নিয়ম প্রযোজ্য?,bangla,,
130,অ্যাক্টিভেশনের পর স্টুডেন্ট পোর্টালে লগ ইন করার সময় পাসওয়ার্ডের পাশাপাশি কি কি তথ্য দিতে হবে?,bangla,,
122,EWU ভর্তি ফর্ম সফলভাবে জমা দেওয়ার পরে কোন কনফার্মেশন বার্তাটি দেখায়?,bangla,,
3337,MSS in Economics graduate program er per credit cost koto?,banglish,,
3849,"Thesis Track er final requirement er course code, title, ar credit weight ki?",banglish,,
3906,'major_areas' string array er bhitore total koto ta items store kora ache?,banglish,,
5023,st_eee.json-e char ti elective course er talika din jar sorasori prerequisite hishebe EEE 308 proyojon.,banglish,,
5419,Elective course 'Actuarial Mathematics' er jonno koto credit talikabhukto kora hoyeche?,banglish,,
3062,EWU online admission process er step 3 e kon basic information gulo lagbe?,banglish,,
5252,st_law.json-e LAW102 course er biborone bibah shomporkito kon bishoy gulo ontorbhukto kora hoyeche?,banglish,,
3768,mphil_pharmacy.json er root level e program name r field er sathe mile jawa sothik string ti ki?,banglish,,
5615,Course code ENG100 er sathe kon parameter gulo map kora hoyeche?,banglish,,
5186,Porichitimulok information studies course er biborone batch-processing er pore kon swotontro kathamogoto processing poddhotigulo onushoron kore?,banglish,,
4672,MGT251 code er course er nam ar er purbashorto ki?,banglish,,
3856,Entry er joggyo howar jonno GCE qualification er exact subject ar grading constraints ki?,banglish,,
4793,Communications and Networking major track er odhine talikabhukto elective course choices gulo ki ki?,banglish,,
5367,Kon elective course tir jonno ekoti podarthobigganer purbashorto (PHY 212) ar ekoti goniter purbashorto (MAT 314) ubhoi proyojon?,banglish,,
4093,Department of Media and Communication ki kono postgraduate degrees offer kore?,banglish,,
5800,Who is the Registrar of East West University?,english,,
7054,Which department does Dr. Nafis Sadeq belong to?,english,,
9209,What is the description of Engineering Activity code EA1?,english,,
8534,What is the serial number allocated to the elective course 'Children’s Literature'?,english,,
8023,Summarize the professional experience of Suraia Nusrin.,english,,
7020,Who is Tara Shankar Sinha?,english,,
7510,Who is Dr. Mohammed Shadman Salam?,english,,
8504,"If an emergency happens on a Wednesday, which specific proctor should be contacted?",english,,
6584,What are the research interests of Md. Helal Uddin?,english,,
6506,Give a short biography of Abdullah Al Sayed.,english,,
8859,What is the credit value assigned to the course 'Algorithms' inside the compulsory block?,english,,
6539,Who is Dr. Mohammad Mojammel Al Hakim?,english,,
8687,What is the course title matching code MDS511 in the core curriculum?,english,,
8564,"What are the name, type, and serial parameters mapped to the course code ENG 9516?",english,,
10692,"Which administrative office handles certificates, transcripts, and grade report issues, and what is its email?",english,,
